iter	Passed	Remaining
589	1565	1088
590	1567	1084
591	1568	1081
592	1570	1077
593	1571	1074
594	1573	1070
595	1574	1067
596	1575	1063
597	1579	1061
598	1581	1058
599	1582	1055
600	1584	1051
601	1585	1048
602	1587	1044
603	1588	1041
604	1589	1037
605	1591	1034
606	1595	1032
607	1596	1029
608	1598	1026
609	1600	1023
610	1602	1019
611	1603	1016
612	1605	1013
613	1606	1010
614	1610	1008
615	1611	1004
616	1613	1001
617	1614	997
618	1615	994
619	1617	991
620	1618	987
621	1620	985
622	1625	983
623	1627	980
624	1629	977
625	1631	974
626	1633	971
627	1641	972
628	1643	969
629	1644	966
630	1646	963
631	1648	959
632	1650	956
633	1652	953
634	1656	952
635	1658	948
636	1660	946
637	1662	943
638	1664	940
639	1666	937
640	1673	937
641	1675	934
642	1677	931
643	1678	927
644	1679	924
645	1681	921
646	1682	918
647	1693	919
648	1694	916
649	1696	913
650	1697	910
651	1703	909
652	1707	907
653	1708	904
654	1710	900
655	1711	897
656	1712	894
657	1719	893
658	1722	891
659	1723	888
660	1725	885
661	1727	882
662	1733	881
663	1736	878
664	1737	875
665	1739	872
666	1740	869
667	1742	865
668	1743	862
669	1751	862
670	1753	859
671	1755	856
672	1756	853
673	1758	850
674	1766	850
675	1767	847
676	1771	844
677	1777	843
678	1781	842
679	1784	839
680	1786	836
681	1794	836
682	1799	835
683	1800	832
684	1802	828
685	1810	828
686	1813	826
687	1816	823
688	1817	820
689	1827	821
690	1830	818
691	1832	815
692	1833	812
693	1842	812
694	1846	810
695	1858	811
696	1861	809
697	1863	806
698	1875	807
699	1880	805
700	1886	804
701	1890	802
702	1894	800
703	1895	797
704	1897	793
705	1906	793
706	1907	790
707	1913	788
708	1915	786
709	1918	783
710	1921	780
711	1923	778
712	1932	777
713	1935	775
714	1937	772
715	1943	770
716	1950	770
717	1952	766
718	1961	766
719	1964	763
720	1965	760
721	1968	757
722	1977	757
723	1981	755
724	1983	752
725	1993	752
726	1996	749
727	1998	746
728	2003	744
729	2009	743
730	2012	740
731	2014	737
732	2023	736
733	2027	734
734	2029	731
735	2039	731
736	2043	729
737	2045	726
738	2052	724
739	2058	723
740	2060	720
741	2067	718
742	2070	716
743	2074	713
744	2076	710
745	2083	709
746	2087	706
747	2089	703
748	2091	700
749	2093	697
750	2100	696
751	2104	693
752	2106	690
753	2107	687
754	2114	686
755	2117	683
756	2119	680
757	2121	677
758	2133	677
759	2135	674
760	2137	671
761	2139	668
762	2145	666
763	2148	663
764	2150	660
765	2158	659
766	2159	656
767	2161	652
768	2163	649
769	2165	646
770	2170	644
771	2173	641
772	2175	638
773	2177	635
774	2179	632
775	2181	629
776	2187	627
777	2192	625
778	2194	622
779	2196	619
780	2204	618
781	2207	615
782	2210	612
783	2212	609
784	2220	608
785	2223	605
786	2224	602
787	2226	598
788	2227	595
789	2233	593
790	2237	591
791	2238	587
792	2240	584
793	2241	581
794	2243	578
795	2248	576
796	2250	573
797	2252	570
798	2254	567
799	2256	564
800	2257	560
801	2262	558
802	2264	555
803	2266	552
804	2268	549
805	2269	546
806	2271	543
807	2277	541
808	2280	538
809	2282	535
810	2284	532
811	2286	529
812	2294	527
813	2296	524
814	2297	521
815	2300	518
816	2302	515
817	2307	513
818	2309	510
819	2312	507
820	2314	504
821	2316	501
822	2317	498
823	2322	495
824	2324	493
825	2326	490
826	2328	487
827	2330	484
828	2331	480
829	2332	477
830	2339	475
831	2341	472
832	2343	469
833	2345	466
834	2347	463
835	2348	460
836	2355	458
837	2356	455
838	2359	452
839	2360	449
840	2363	446
841	2366	444
842	2369	441
843	2372	438
844	2374	435
845	2376	432
846	2377	429
847	2385	427
848	2387	424
849	2389	421
850	2391	418
851	2392	415
852	2400	413
853	2402	410
854	2404	407
855	2406	404
856	2408	401
857	2416	399
858	2418	397
859	2420	394
860	2422	391
861	2424	388
862	2425	385
863	2432	382
864	2433	379
865	2435	376
866	2437	373
867	2438	370
868	2440	367
869	2444	365
870	2447	362
871	2449	359
872	2451	356
873	2452	353
874	2454	350
875	2462	348
876	2464	345
877	2465	342
878	2467	339
879	2469	336
880	2470	333
881	2476	331
882	2478	328
883	2480	325
884	2482	322
885	2484	319
886	2485	316
887	2492	314
888	2494	311
889	2496	308
890	2498	305
891	2499	302
892	2506	300
893	2510	297
894	2511	294
895	2513	291
896	2515	288
897	2516	285
898	2524	283
899	2526	280
900	2528	277
901	2529	274
902	2531	271
903	2535	269
904	2540	266
905	2542	263
906	2544	260
907	2546	258
908	2551	255
909	2554	252
910	2558	249
911	2559	246
912	2561	244
913	2562	241
914	2567	238
915	2570	235
916	2574	233
917	2575	230
918	2576	227
919	2578	224
920	2584	221
921	2585	218
922	2587	215
923	2588	212
924	2589	209
925	2591	207
926	2593	204
927	2597	201
928	2599	198
929	2600	195
930	2602	192
931	2603	189
932	2605	187
933	2606	184
934	2608	181
935	2612	178
936	2613	175
937	2615	172
938	2616	169
939	2618	167
940	2619	164
941	2620	161
942	2622	158
943	2623	155
944	2627	152
945	2629	150
946	2630	147
947	2631	144
948	2633	141
949	2634	138
950	2635	135
951	2637	132
952	2638	130
953	2640	127
954	2642	124
955	2646	121
956	2647	118
957	2649	116
958	2651	113
959	2655	110
960	2656	107
961	2658	104
962	2659	102
963	2661	99
964	2662	96
965	2663	93
966	2665	90
967	2668	88
968	2670	85
969	2671	82
970	2672	79
971	2674	77
972	2675	74
973	2677	71
974	2678	68
975	2680	65
976	2683	63
977	2685	60
978	2687	57
979	2689	54
980	2690	52
981	2691	49
982	2693	46
983	2694	43
984	2695	41
985	2701	38
986	2703	35
987	2705	32
988	2707	30
989	2708	27
990	2710	24
991	2711	21
992	2713	19
993	2715	16
994	2716	13
995	2718	10
996	2719	8
997	2720	5
998	2722	2
999	2724	0
